               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.039005,            0.023504,           0.0015703,             0.84527,             0.80424,              0.8618,             0.66918,            0.034379,           0.0081653,          0.00081764,           0.0024513,           0.0024513,           0.0024513
                  63,            0.038894,            0.023383,           0.0015651,             0.84476,             0.80535,             0.86245,             0.67007,            0.034355,           0.0081597,          0.00081859,           0.0023275,           0.0023275,           0.0023275
                  64,             0.03877,            0.023452,           0.0014729,             0.85089,             0.80233,             0.86381,             0.67054,            0.034311,           0.0081529,          0.00082226,           0.0022038,           0.0022038,           0.0022038
                  65,            0.038624,            0.023389,           0.0015057,             0.85794,             0.79605,             0.86443,             0.67215,            0.034275,           0.0081487,          0.00082309,             0.00208,             0.00208,             0.00208
                  66,            0.038493,            0.023266,           0.0014713,             0.85278,             0.79948,               0.864,              0.6722,            0.034238,           0.0081424,          0.00082381,           0.0019563,           0.0019563,           0.0019563
                  67,            0.038306,            0.023042,           0.0013652,             0.86001,              0.7963,             0.86477,             0.67277,            0.034211,           0.0081365,          0.00081125,           0.0018325,           0.0018325,           0.0018325
                  68,            0.037999,            0.023054,           0.0013613,             0.85385,             0.80125,              0.8654,             0.67238,            0.034181,           0.0081334,          0.00081281,           0.0017087,           0.0017087,           0.0017087
                  69,            0.037891,            0.022846,            0.001338,             0.85652,             0.79892,             0.86585,             0.67421,            0.034168,           0.0081344,          0.00081233,            0.001585,            0.001585,            0.001585
                  70,            0.037668,            0.022758,           0.0012817,             0.86305,             0.79727,             0.86705,             0.67443,            0.034148,           0.0081341,          0.00081255,           0.0014612,           0.0014612,           0.0014612
                  71,            0.037355,            0.022617,           0.0012723,             0.86092,             0.79654,             0.86765,             0.67598,            0.034138,           0.0081363,          0.00082337,           0.0013375,           0.0013375,           0.0013375
                  72,            0.037222,            0.022557,           0.0012436,              0.8577,             0.79909,             0.86788,             0.67614,            0.034114,           0.0081376,          0.00082171,           0.0012138,           0.0012138,           0.0012138
                  73,            0.037242,            0.022519,            0.001209,             0.85858,             0.79803,             0.86781,             0.67597,            0.034098,            0.008138,          0.00081751,             0.00109,             0.00109,             0.00109
                  74,             0.03695,            0.022283,           0.0011775,             0.85982,             0.79616,             0.86789,             0.67648,            0.034076,           0.0081378,          0.00080793,          0.00096625,          0.00096625,          0.00096625
                  75,            0.036678,            0.022306,           0.0011287,             0.86226,             0.79422,              0.8687,             0.67701,            0.034057,           0.0081406,          0.00079919,           0.0008425,           0.0008425,           0.0008425
                  76,            0.036578,             0.02217,            0.001098,             0.86225,             0.79633,             0.86846,             0.67769,            0.034041,            0.008144,          0.00079181,          0.00071875,          0.00071875,          0.00071875
                  77,            0.036121,             0.02193,           0.0010981,             0.86695,             0.79407,             0.86853,             0.67758,            0.034038,           0.0081484,          0.00079085,            0.000595,            0.000595,            0.000595
                  78,            0.036233,            0.022059,          0.00099645,             0.86893,             0.79703,             0.86767,             0.67657,            0.034031,           0.0081522,          0.00078935,          0.00047125,          0.00047125,          0.00047125
                  79,            0.036005,            0.021736,          0.00098909,             0.85962,             0.80461,             0.86785,             0.67779,            0.034043,           0.0081566,          0.00078963,           0.0003475,           0.0003475,           0.0003475
